Date,Period,Plug_ID,Dilution,Count1,Count2,Count3,Count4,Count5,Count6,Cell_mL1,Cell_mL2,Cell_mL3,Cell_mL4,Cell_mL5,Cell_mL6,Tech,
Spring-2021,Pre-homogenizing,1048,1,320,334,338,384,,,451000,471000,476000,541000,,,Sierra Gray,
Spring-2021,Pre-homogenizing,2384,1,100,170,106,,,,142000,240000,150000,,,,Sierra Gray,
Spring-2021,Pre-homogenizing,2393,1,284,210,238,,,,401000,297000,337000,,,,Sierra Gray,
Spring-2021,Pre-homogenizing,1710,1,516,495,539,,,,728000,699000,761000,,,,Sierra Gray,
Spring-2021,Pre-homogenizing,1116,1,310,294,366,,,,439000,417000,518000,,,,Sierra Gray,
20210526,Pre-homogenizing,1686,1,51,175,102,139,175,160,72200,247000,144000,196000,247000,226000,Emma Strand,
20210526,Pre-homogenizing,1718,1,316,286,272,,,,447000,406000,386000,,,,Emma Strand,
20210526,Pre-homogenizing,1717,1,278,271,271,,,,394000,384000,384000,,,,Emma Strand,
20210526,Pre-homogenizing,11,1,292,294,337,,,,412000,415000,476000,,,,Emma Strand,
20210526,Pre-homogenizing,469,1,658,812,773,580,,,935000,1150000,1100000,825000,,,Emma Strand,
20210526,Pre-homogenizing,622,1,395,267,312,306,300,,558000,378000,441000,423000,425000,,Emma Strand,
20210526,Pre-homogenizing,2165,1,348,354,277,241,349,,490000,499000,391000,492000,,,Emma Strand,
20210526,Pre-homogenizing,2018,1,130,124,120,,,,184000,175000,170000,,,,Emma Strand,
20210526,Pre-homogenizing,2858,1,233,270,270,,,,329000,381000,381000,,,,Emma Strand,
20210526,Pre-homogenizing,1294,1,114,125,146,,,,161000,176000,206000,,,,Emma Strand,
20210526,Pre-homogenizing,1327,1,12,13,18,,,,16800,18400,25400,,,,Emma Strand,
20210526,Pre-homogenizing,2998,1,328,345,345,,,,463000,487000,487000,,,,Emma Strand,
20210526,Pre-homogenizing,1048,1,284,258,296,,,,401000,366000,418000,,,,Emma Strand,
20210526,Pre-homogenizing,1537,1,95,182,159,,,,134000,257000,224000,,,,Emma Strand,
20210526,Pre-homogenizing,1258,1,185,204,289,,,,261000,288000,408000,,,,Emma Strand,
20210526,Pre-homogenizing,1748,1,153,162,124,,,,216000,229000,176000,,,,Emma Strand,
20210526,Pre-homogenizing,2156,1,20,22,11,,,,28200,31000,15500,,,,Emma Strand,
20210526,Pre-homogenizing,1240,1,109,128,143,,,,154000,181000,202000,,,,Emma Strand,
20210630,Pre-homogenizing,NA,1,21,58,71,,,,29700,81900,100000,,,,Emma Strand,1822: don't use this one; pre homogenizing
20210719,Post-homogenizing,1353,1,NA,NA,NA,,,,632000,584000,558000,,,,Emma Strand,
20210722,Post-homogenizing,1226,1,NA,NA,NA,,,,571000,578000,569000,,,,Emma Strand,
20210722,Post-homogenizing,1822,1,NA,NA,NA,,,,523000,540000,584000,,,,Emma Strand,
20210722,Post-homogenizing,1256,1,NA,NA,NA,,,,618000,682000,621000,,,,Emma Strand,
20210722,Post-homogenizing,1432,1,NA,NA,NA,,,,745000,694000,763000,,,,Emma Strand,
20210722,Post-homogenizing,1045,1,NA,NA,NA,,,,910000,920000,995000,,,,Emma Strand,
20210722,Post-homogenizing,1098,1,NA,NA,NA,,,,592000,629000,533000,,,,Emma Strand,
