Well,Plug_ID
A1,BK
A2,BK 
A3,1117
A4,1117
A5,NA
A6,NA
A7,1442
A8,1442
A9,NA
A10,NA
A11,1338
A12,1338
B1,2515
B2,2515
B3,1770
B4,1770
B5,2871
B6,2871
B7,NA
B8,NA
B9,NA
B10,NA
B11,NA
B12,NA
C1,1441
C2,1441
C3,NA
C4,NA
C5,1249
C6,1249
C7,1491
C8,1491
C9,1731
C10,1731
C11,1214
C12,1214
D1,NA
D2,NA
D3,1998
D4,1998
D5,1100
D6,1100
D7,1618
D8,1618
D9,2669
D10,2669
D11,1708
D12,1708
E1,1540
E2,1540
E3,NA
E4,NA
E5,1702
E6,1702
E7,1187
E8,1187
E9,1316
E10,1316
E11,1285
E12,1285
F1,1242
F2,1242
F3,1560
F4,1560
F5,NA
F6,NA
F7,NA
F8,NA
F9,1045
F10,1045
F11,NA
F12,NA
G1,1738
G2,1738
G3,3002
G4,3002
G5,1228
G6,1228
G7,1295
G8,1295
G9,NA
G10,NA
G11,2211
G12,2211
H1,1778
H2,1778
H3,2863
H4,2863
H5,1092
H6,1092
H7,1084
H8,1084
H9,NA
H10,NA
H11,NA
H12,NA
